R,lim,r,p,q,N,sigma_abs,r_sigma,c0,c1,c2,c3
44.8913,45.0,0.000000,0,0,0,0.000000,0.000000,0,0,0,0
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,0,-1440,-890,-1440
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,2330,-890,890,-2330
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,-1440,1440,0,2330
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,-2330,0,-1440,1440
44.8913,45.0,321.996894,28657,46368,1,0.003106,1.000000,1440,890,1440,0
44.8913,45.0,691.958814,132339,214129,11,0.004793,3.316625,3770,1440,3220,-890
44.8913,45.0,691.958814,132339,214129,11,0.004793,3.316625,5210,-1440,2330,-4660
44.8913,45.0,691.958814,132339,214129,11,0.004793,3.316625,-3770,2880,-550,5210
44.8913,45.0,691.958814,132339,214129,11,0.004793,3.316625,-890,-2880,-2330,-2330
44.8913,45.0,691.958814,132339,214129,11,0.004793,3.316625,-2330,3220,550,4660
44.8913,45.0,691.958814,132339,214129,11,0.004793,3.316625,890,-3220,-1440,-3770
44.8913,45.0,691.958814,132339,214129,11,0.004793,3.316625,2330,2330,2880,890
44.8913,45.0,691.958814,132339,214129,11,0.004793,3.316625,4660,-2330,1440,-5210
44.8913,45.0,691.958814,132339,214129,11,0.004793,3.316625,-4660,-550,-3220,2330
44.8913,45.0,691.958814,132339,214129,11,0.004793,3.316625,-5210,550,-2880,3770
44.8913,45.0,842.998814,196418,317811,1,0.001186,1.000000,0,3770,2330,3770
44.8913,45.0,842.998814,196418,317811,1,0.001186,1.000000,3770,-3770,0,-6100
44.8913,45.0,842.998814,196418,317811,1,0.001186,1.000000,-6100,2330,-2330,6100
44.8913,45.0,842.998814,196418,317811,1,0.001186,1.000000,6100,0,3770,-3770
44.8913,45.0,842.998814,196418,317811,1,0.001186,1.000000,-3770,-2330,-3770,0
44.8913,45.0,924.084412,236021,381890,31,0.006025,5.567764,5210,1780,4320,-1440
44.8913,45.0,924.084412,236021,381890,31,0.006025,5.567764,6990,-1780,3220,-6100
44.8913,45.0,924.084412,236021,381890,31,0.006025,5.567764,-5210,3770,-890,6990
44.8913,45.0,924.084412,236021,381890,31,0.006025,5.567764,-1440,-3770,-3220,-2880
44.8913,45.0,924.084412,236021,381890,31,0.006025,5.567764,-2880,4320,890,6100
44.8913,45.0,924.084412,236021,381890,31,0.006025,5.567764,1440,-4320,-1780,-5210
44.8913,45.0,924.084412,236021,381890,31,0.006025,5.567764,2880,3220,3770,1440
44.8913,45.0,924.084412,236021,381890,31,0.006025,5.567764,6100,-3220,1780,-6990
44.8913,45.0,924.084412,236021,381890,31,0.006025,5.567764,-6100,-890,-4320,2880
44.8913,45.0,924.084412,236021,381890,31,0.006025,5.567764,-6990,890,-3770,5210
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,0,550,340,550
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,550,-550,0,-890
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,-890,340,-340,890
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,890,0,550,-550
40.6982,45.0,122.991869,4181,6765,1,0.008131,1.000000,-550,-340,-550,0
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,1100,340,890,-340
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,1440,-340,680,-1230
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-1100,760,-210,1440
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-340,-760,-680,-550
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-550,890,210,1230
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,340,-890,-340,-1100
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,550,680,760,340
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,1230,-680,340,-1440
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-1230,-210,-890,550
40.6982,45.0,189.820967,9959,16114,11,0.017472,3.316625,-1440,210,-760,1100
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,1780,210,1230,-890
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,1990,-210,1100,-1440
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,-1780,890,-550,1990
40.6982,45.0,264.304748,19308,31241,11,0.012548,3.316625,-890,-890,-1100,-340
